iter	Passed	Remaining
0	147	147352
1	148	74126
2	149	49717
3	150	37526
4	151	30146
5	152	25218
6	152	21703
7	153	19064
8	154	17010
9	155	15385
10	156	14052
11	157	12932
12	157	11980
13	158	11167
14	159	10465
15	160	9855
16	161	9327
17	162	8857
18	163	8430
19	164	8045
20	164	7688
21	165	7363
22	166	7083
23	167	6823
24	168	6577
25	169	6346
26	170	6130
27	170	5929
28	171	5744
29	172	5581
30	173	5429
31	174	5278
32	175	5137
33	176	5001
34	176	4873
35	177	4755
36	178	4646
37	179	4548
38	180	4445
39	181	4346
40	181	4255
41	182	4168
42	183	4083
43	184	4009
44	185	3938
45	186	3866
46	187	3796
47	188	3729
48	188	3666
49	189	3604
50	190	3546
51	191	3491
52	192	3436
53	193	3381
54	193	3330
55	194	3279
56	195	3231
57	196	3185
58	197	3147
59	198	3104
60	198	3061
61	199	3019
62	200	2979
63	201	2941
64	201	2904
65	202	2871
66	203	2837
67	204	2802
68	205	2769
69	206	2737
70	206	2704
71	207	2673
72	208	2645
73	209	2619
74	210	2591
75	210	2564
76	211	2538
77	212	2515
78	213	2490
79	214	2468
80	215	2445
81	216	2421
82	216	2394
83	217	2372
84	218	2352
85	219	2332
86	220	2312
87	221	2294
88	222	2275
89	223	2255
90	223	2236
91	224	2217
92	225	2199
93	226	2185
94	227	2170
95	228	2153
96	229	2137
97	230	2121
98	231	2104
99	231	2087
100	233	2074
101	234	2061
102	234	2045
103	235	2033
104	236	2019
105	237	2004
106	238	1989
107	239	1978
108	240	1967
109	241	1956
110	242	1944
111	243	1931
112	244	1918
113	245	1906
114	246	1896
115	247	1884
116	248	1872
117	248	1860
118	250	1851
119	251	1842
120	252	1833
121	253	1821
122	254	1811
123	254	1801
124	255	1790
125	256	1780
126	257	1769
127	258	1761
128	259	1751
129	260	1740
130	260	1730
131	261	1720
132	262	1710
133	263	1701
134	264	1693
135	265	1686
136	266	1677
137	267	1669
138	268	1662
139	269	1653
140	270	1646
141	270	1637
142	272	1630
143	273	1623
144	274	1615
145	274	1608
146	275	1601
147	280	1616
148	281	1609
149	282	1603
150	283	1596
151	284	1589
152	285	1581
153	286	1574
154	287	1566
155	288	1560
156	289	1553
157	290	1546
158	290	1538
159	291	1531
160	292	1522
161	292	1515
162	293	1508
163	294	1502
164	295	1495
165	296	1489
166	297	1481
167	297	1474
168	298	1467
169	299	1461
170	300	1455
171	301	1449
172	301	1443
173	302	1437
174	303	1430
175	304	1424
176	304	1417
177	305	1411
178	306	1406
179	307	1400
180	308	1395
181	309	1389
182	309	1383
183	310	1378
184	311	1372
185	312	1366
186	313	1361
187	314	1357
188	315	1352
189	315	1347
190	316	1342
191	317	1337
192	318	1332
193	319	1328
194	320	1323
195	321	1318
196	322	1313
197	322	1307
198	323	1302
199	324	1297
200	325	1292
201	326	1288
202	327	1283
203	327	1278
204	328	1273
205	329	1269
206	330	1264
207	330	1260
208	331	1255
209	332	1251
210	333	1247
211	334	1243
212	335	1239
213	336	1234
214	337	1231
215	338	1227
216	339	1223
217	339	1219
218	340	1215
219	341	1210
220	342	1206
221	342	1201
222	343	1198
223	344	1194
224	345	1190
225	346	1186
226	347	1182
227	348	1178
228	348	1174
229	349	1171
230	350	1168
231	351	1164
232	352	1160
233	353	1156
234	353	1152
235	354	1148
236	355	1144
237	356	1141
238	357	1138
239	358	1134
240	358	1130
241	359	1126
242	360	1123
243	361	1119
244	362	1116
245	363	1113
246	364	1109
247	364	1106
248	365	1103
249	366	1100
